# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
#
1282	Rangoon	pregnant, be	ko²²wĩ²²shɑ̃u²²	k o ²² + /ʔ w ĩ ∼ ²² + sʰ ɑ̃ u ∼ ²²	i n t + i m n c t + i n N c t	k o ²² + /ʔ w ĩ ∼ ²² + sʰ ɑ̃ u ∼ ²²	12590 12591 12592
4520	Xiandao	pregnant, be	tsɔ³¹pum³¹	ts ɔ ³¹ + p u m ³¹	i n t + i n c t	ts ɔ ³¹ + p u m ³¹	4178 12593
6216	Atsi	pregnant, be	tso²¹vun⁵¹	ts o ²¹ + v u n ⁵¹	i n t + i n c t	ts o ²¹ + v u n ⁵¹	4178 12588
7870	Maru	pregnant, be	vẽ³⁵pat⁵⁵	v ẽ ∼ ³⁵ + p a t ⁵⁵	i n c t + i n c t	v ẽ ∼ ³⁵ + p a t ⁵⁵	12588 12589
9582	Bola	pregnant, be	vɛ̃³¹pɔt⁵⁵	v ɛ̃ ∼ ³¹ + p ɔ t ⁵⁵	i n c t + i n c t	v ɛ̃ ∼ ³¹ + p ɔ t ⁵⁵	12588 12589
#
1708	Rangoon	prepare / get ready / intend	pjĩ²²shĩ²²	p j ĩ ∼ ²² + sʰ ĩ ∼ ²²	i m n c t + i n c t	p j ĩ ∼ ²² + sʰ ĩ ∼ ²²	12603 12601
3409	Achang_Longchuan	prepare / get ready / intend	tʂun⁵⁵pei³⁵	tʂ u n ⁵⁵ + p ei ³⁵	i n c t + i n t	tʂ u n ⁵⁵ + p ei ³⁵	12599 12600
6643	Atsi	prepare / get ready / intend	xen⁵¹	x e n ⁵¹	i n c t	x e n ⁵¹	12601
8274	Maru	prepare / get ready / intend	sum⁵⁵	s u m ⁵⁵	i n c t	s u m ⁵⁵	12602
11535	Lashi	prepare / get ready / intend	xɛ̱ːn⁵⁵	ˀx ɛː n ⁵⁵	i n c t	ˀx ɛː n ⁵⁵	12601
#
739	Rangoon	present, the (time)	jɑ⁵³khu⁵³	/ʔ j ɑ ⁵³ + kʰ u ⁵³	i m n t + i n t	/ʔ j ɑ ⁵³ + kʰ - u ⁵³	10150 12610
2499	Achang_Longchuan	present, the (time)	xai⁵⁵xuʔ³¹	x ai ⁵⁵ + x u ʔ ³¹	i n t + i n c t	x ai ⁵⁵ + x u ʔ ³¹	12607 12608
4072	Xiandao	present, the (time)	a³¹fu³⁵	/ʔ a ³¹ + f u ³⁵	i n t + i n t	/ʔ - a ³¹ + f u ³⁵	10150 12612
5668	Atsi	present, the (time)	a²¹khui⁵¹	/ʔ a ²¹ + kʰ u i ⁵¹	i n t + i m n t	/ʔ - a ²¹ + kʰ u i ⁵¹	10150 12610
7375	Maru	present, the (time)	a³¹na⁵⁵	/ʔ a ³¹ + n a ⁵⁵	i n t + i n t	/ʔ - a ³¹ + n a ⁵⁵	10150 12611
9049	Bola	present, the (time)	a³¹khui⁵⁵	/ʔ a ³¹ + kh ui ⁵⁵	i n t + i n t	/ʔ - a ³¹ + kh - ui ⁵⁵	10150 12610
10704	Lashi	present, the (time)	a³¹khui⁵⁵	/ʔ a ³¹ + kh u i ⁵⁵	i n t + i m n t	/ʔ - a ³¹ + kh u i ⁵⁵	10150 12610
#
1307	Rangoon	press (a tube of toothpaste)	ȵ̥iʔ⁵⁵	ɲ̊ i ʔ ⁵⁵	i n c t	ɲ̊ i ʔ ⁵⁵	12622
3031	Achang_Longchuan	press (a tube of toothpaste)	ŋ̊uat⁵⁵	ŋ̊ ua t ⁵⁵	i n c t	ŋ̊ ua t ⁵⁵	12622
4532	Xiandao	press (a tube of toothpaste)	ɲ̊ap⁵⁵	ɲ̊ a p ⁵⁵	i n c t	ɲ̊ a p ⁵⁵	12626
6241	Atsi	press (a tube of toothpaste)	tʃa̱p⁵⁵	ˀtʃ a p ⁵⁵	i n c t	ˀtʃ a p ⁵⁵	12623
7891	Maru	press (a tube of toothpaste)	tʃi̱ŋ⁵⁵	ˀtʃ i ŋ ⁵⁵	i n c t	ˀtʃ i ŋ ⁵⁵	12625
9605	Bola	press (a tube of toothpaste)	tʃa̱p⁵⁵	ˀtʃ a p ⁵⁵	i n c t	ˀtʃ a p ⁵⁵	12623
11192	Lashi	press (a tube of toothpaste)	ŋji̱ːn⁵⁵	ˀŋ j iː n ⁵⁵	i m n c t	ˀŋ j iː n ⁵⁵	12624
#
1035	Rangoon	press (with palm or finger)	n̥eʔ⁴	n̥ e ʔ ⁴	i n c t	n̥ e ʔ ⁴	12632
2786	Achang_Longchuan	press (with palm or finger)	tek³⁵	t e k ³⁵	i n c t	t e k ³⁵	12630
4324	Xiandao	press (with palm or finger)	tɛk³⁵	t ɛ k ³⁵	i n c t	t ɛ k ³⁵	12630
5969	Atsi	press (with palm or finger)	tun²¹	t u n ²¹	i n c t	t u n ²¹	12631
7651	Maru	press (with palm or finger)	tum³⁵	t u m ³⁵	i n c t	t u m ³⁵	12631
9346	Bola	press (with palm or finger)	tɔn³¹	t ɔ n ³¹	i n c t	t ɔ n ³¹	12631
10972	Lashi	press (with palm or finger)	tuːn³³	t uː n ³³	i n c t	t uː n ³³	12631
#
1641	Rangoon	press / push down	phi⁵³	pʰ i ⁵³	i n t	pʰ i ⁵³	12640
3347	Achang_Longchuan	press / push down	tek³⁵	t e k ³⁵	i n c t	t e k ³⁵	12630
4811	Xiandao	press / push down	tɛk³⁵	t ɛ k ³⁵	i n c t	t ɛ k ³⁵	12630
6576	Atsi	press / push down	ne̱⁵⁵	ˀn e ⁵⁵	i n t	ˀn e ⁵⁵	12639
8208	Maru	press / push down	na̱i⁵⁵	ˀn ai ⁵⁵	i n t	ˀn ai ⁵⁵	12639
9936	Bola	press / push down	na̱i³⁵	ˀn ai ³⁵	i n t	ˀn ai ³⁵	12639
11484	Lashi	press / push down	nɛ̱ː⁵⁵	ˀn ɛː ⁵⁵	i n t	ˀn ɛː ⁵⁵	12639
#
1675	Rangoon	pricked, be (on a thorn)	su⁵⁵	s u ⁵⁵	i n t	s u ⁵⁵	12647
3379	Achang_Longchuan	pricked, be (on a thorn)	toi³¹	t oi ³¹	i n t	t oi - ³¹	12075
6610	Atsi	pricked, be (on a thorn)	tsu²¹	ts u ²¹	i n t	ts u ²¹	12647
8241	Maru	pricked, be (on a thorn)	thuk⁵⁵	th u k ⁵⁵	i n c t	th u k ⁵⁵	12075
9969	Bola	pricked, be (on a thorn)	thau³⁵	th au ³⁵	i n t	th au - ³⁵	12075
#
67	Rangoon	prison	thɑ̃u²²	tʰ ɑ̃ u ∼ ²²	i n N c t	tʰ ɑ̃ u ∼ ²²	12652
1892	Achang_Longchuan	prison	thuaŋ³⁵	tʰ ua ŋ ³⁵	i n c t	tʰ ua - ŋ ³⁵	12652
3552	Xiandao	prison	thoŋ³⁵	th o ŋ ³⁵	i n c t	th o - ŋ ³⁵	12652
5003	Atsi	prison	thoŋ⁵⁵	tʰ o ŋ ⁵⁵	i n c t	tʰ o - ŋ ⁵⁵	12652
6787	Maru	prison	thɔŋ³⁵	th ɔ ŋ ³⁵	i n c t	th ɔ - ŋ ³⁵	12652
8414	Bola	prison	thɔŋ³⁵	th ɔ ŋ ³⁵	i n c t	th ɔ - ŋ ³⁵	12652
10144	Lashi	prison	thɔŋ³³	th ɔ ŋ ³³	i n c t	th ɔ - ŋ ³³	12652
#
1472	Rangoon	prize / pry	kɔ²²	k ɔ ²²	i n t	k ɔ - ²²	12661
3183	Achang_Longchuan	prize / pry	ŋ̊əŋ³¹	ŋ̊ ə ŋ ³¹	i n c t	ŋ̊ ə ŋ ³¹	12660
4664	Xiandao	prize / pry	kʐak³⁵	kʐ a k ³⁵	i n c t	kʐ a k ³⁵	12661
6404	Atsi	prize / pry	kik²¹	k i k ²¹	i n c t	k i k ²¹	12661
8042	Maru	prize / pry	kak³¹	k a k ³¹	i n c t	k a k ³¹	12661
9766	Bola	prize / pry	kak³¹tu̱⁵⁵	k a k ³¹ + ˀt u ⁵⁵	i n c t + i n t	k a k ³¹ + ˀt u ⁵⁵	12661 12662
11952	Old_Burmese	prize / pry	kanʔ	k a n ⁵³	i n c t	k a n ⁵³	12661
#
1110	Rangoon	produce	thwɛʔ⁴	tʰ w ɛ ʔ ⁴	i m n c t	tʰ w ɛ ʔ ⁴	3482
2854	Achang_Longchuan	produce	thoʔ⁵⁵	tʰ o ʔ ⁵⁵	i n c t	tʰ - o ʔ ⁵⁵	3482
6045	Atsi	produce	thoʔ⁵⁵	tʰ o ʔ ⁵⁵	i n c t	tʰ - o ʔ ⁵⁵	3482
9420	Bola	produce	thɔʔ⁵⁵	th ɔ ʔ ⁵⁵	i n c t	th - ɔ ʔ ⁵⁵	3482
#
1132	Rangoon	promise / consent	tθɑ⁵³bɔ⁵⁵tu²²	tθ ɑ ⁵³ + b ɔ ⁵⁵ + t u ²²	i n t + i n t + i n t	tθ ɑ ⁵³ + b ɔ ⁵⁵ + t u ²²	428 12677 12678
2875	Achang_Longchuan	promise / consent	thu³¹	tʰ u ³¹	i n t	tʰ u ³¹	428
4399	Xiandao	promise / consent	tʂɯŋ³⁵	tʂ ɯ ŋ ³⁵	i n c t	tʂ ɯ ŋ ³⁵	12679
6067	Atsi	promise / consent	tu̱²¹	ˀt u ²¹	i n t	ˀt u ²¹	428
7736	Maru	promise / consent	ta̱u³⁵	ˀt au ³⁵	i n t	ˀt au ³⁵	428
9442	Bola	promise / consent	tu̱³⁵	ˀt u ³⁵	i n t	ˀt u ³⁵	428
11050	Lashi	promise / consent	kjɔ³³ʒa³³	k j ɔ ³³ + ʒ a ³³	i m n t + i n t	k j ɔ ³³ + ʒ a ³³	12675 12676
#
1095	Rangoon	prop up / support	thɑuʔ⁴	tʰ ɑ u ʔ ⁴	i n N c t	tʰ ɑ u ʔ ⁴	12685
2844	Achang_Longchuan	prop up / support	tau⁵¹	t au ⁵¹	i n t	t au - - ⁵¹	12685
4370	Xiandao	prop up / support	tau³¹	t au ³¹	i n t	t au - - ³¹	12685
6030	Atsi	prop up / support	thaŋ⁵¹	tʰ a ŋ ⁵¹	i n c t	tʰ a - ŋ ⁵¹	12685
7703	Maru	prop up / support	thauk⁵⁵	th au k ⁵⁵	i n c t	th au - k ⁵⁵	12685
9405	Bola	prop up / support	thauʔ⁵⁵	th au ʔ ⁵⁵	i n c t	th au - ʔ ⁵⁵	12685
11020	Lashi	prop up / support	thuːk⁵⁵	th uː k ⁵⁵	i n c t	th uː - k ⁵⁵	12685
#
1052	Rangoon	protect	kɑ²²kwɛ²²	k ɑ ²² + k w ɛ ²²	i n t + i m n t	k ɑ ²² + k w ɛ ²²	12695 12696
5987	Atsi	protect	mă²¹ ko̱p²¹	m ă ²¹ + ˀk o p ²¹	i n t + i n c t	m ă ²¹ + ˀk o p ²¹	12693 12694
#
886	Rangoon	protruding / raised	phɑ̃u⁵⁵	pʰ ɑ̃ u ∼ ⁵⁵	i n N c t	pʰ ɑ̃ u ∼ ⁵⁵	12700
5816	Atsi	protruding / raised	pu⁵⁵	p u ⁵⁵	i n t	p u - ⁵⁵	12698
7517	Maru	protruding / raised	pau⁵⁵	p au ⁵⁵	i n t	p au - ⁵⁵	12698
9197	Bola	protruding / raised	kuŋ³⁵	k u ŋ ³⁵	i n c t	k u ŋ ³⁵	12699
10845	Lashi	protruding / raised	phoːt⁵⁵	ph oː t ⁵⁵	i n c t	ph oː t ⁵⁵	12698
#
614	Rangoon	proverb / saying	sɑ⁵³kɑ⁵⁵põ²²	s ɑ ⁵³ + k ɑ ⁵⁵ + p õ ∼ ²²	i n t + i n t + i n c t	s ɑ ⁵³ + k ɑ ⁵⁵ + p õ ∼ ²²	12708 12709 12710
5541	Atsi	proverb / saying	taŋ²¹tsu̱m⁵⁵	t a ŋ ²¹ + ˀts u m ⁵⁵	i n c t + i n c t	t a ŋ ²¹ + ˀts u m ⁵⁵	15534 12705
8930	Bola	proverb / saying	tɔ̃³¹khɔn³⁵	t ɔ̃ ∼ ³¹ + kh ɔ n ³⁵	i n c t + i n c t	t ɔ̃ ∼ ³¹ + kh ɔ n ³⁵	15534 12706
10606	Lashi	proverb / saying	taŋ³³kje̱i⁵³	t a ŋ ³³ + ˀk j ei ⁵³	i n c t + i m n t	t a ŋ ³³ + ˀk j ei ⁵³	15534 12707
#
1764	Rangoon	puddle (of mud)	põ²²	p õ ∼ ²²	i n c t	p õ ∼ ²²	8081
3463	Achang_Longchuan	puddle (of mud)	xɔk⁵⁵	x ɔ k ⁵⁵	i n c t	x ɔ k ⁵⁵	12714
4918	Xiandao	puddle (of mud)	pum⁵⁵	p u m ⁵⁵	i n c t	p u m ⁵⁵	8081
10057	Bola	puddle (of mud)	pam⁵⁵	p a m ⁵⁵	i n c t	p a m ⁵⁵	8081
11586	Lashi	puddle (of mud)	pja̱ʔ³¹	ˀp j a ʔ ³¹	i m n c t	ˀp j a ʔ ³¹	12716
#
1237	Rangoon	pull (a quilt) over oneself	tɕhõ²²	tɕʰ õ ∼ ²²	i n c t	tɕʰ õ ∼ ²²	12724
2971	Achang_Longchuan	pull (a quilt) over oneself	thap⁵⁵	tʰ a p ⁵⁵	i n c t	tʰ a p ⁵⁵	12720
4481	Xiandao	pull (a quilt) over oneself	thap⁵⁵	th a p ⁵⁵	i n c t	th a p ⁵⁵	12720
6169	Atsi	pull (a quilt) over oneself	vut²¹	v u t ²¹	i n c t	v u t ²¹	18616
7828	Maru	pull (a quilt) over oneself	vɛʔ³¹	v ɛ ʔ ³¹	i n c t	v ɛ ʔ ³¹	18616
9536	Bola	pull (a quilt) over oneself	ŋø̱ʔ⁵⁵	ˀŋ ø ʔ ⁵⁵	i n c t	ˀŋ ø ʔ ⁵⁵	12722
11137	Lashi	pull (a quilt) over oneself	tsəːŋ⁵⁵	ts əː ŋ ⁵⁵	i n c t	ts əː ŋ ⁵⁵	12723
#
1590	Rangoon	pull / drag (a log)	shwɛ⁵⁵	sʰ w ɛ ⁵⁵	i m n t	sʰ w ɛ ⁵⁵	12729
3301	Achang_Longchuan	pull / drag (a log)	ʂa⁵⁵	ʂ a ⁵⁵	i n t	ʂ a ⁵⁵	12728
4769	Xiandao	pull / drag (a log)	ʂa⁵⁵	ʂ a ⁵⁵	i n t	ʂ a ⁵⁵	12728
6525	Atsi	pull / drag (a log)	ʃe⁵¹	ʃ e ⁵¹	i n t	ʃ e ⁵¹	12728
8160	Maru	pull / drag (a log)	ʃɛ³¹	ʃ ɛ ³¹	i n t	ʃ ɛ ³¹	12728
9887	Bola	pull / drag (a log)	ʃɛ⁵⁵	ʃ ɛ ⁵⁵	i n t	ʃ ɛ ⁵⁵	12728
11443	Lashi	pull / drag (a log)	ʃɛ̱ː³³	ˀʃ ɛː ³³	i n t	ˀʃ ɛː ³³	12728
#
1467	Rangoon	pull / lead (a cow) along	shwɛ⁵⁵	sʰ w ɛ ⁵⁵	i m n t	sʰ w ɛ ⁵⁵	12738
3178	Achang_Longchuan	pull / lead (a cow) along	ʂa⁵⁵	ʂ a ⁵⁵	i n t	ʂ a ⁵⁵	12736
4659	Xiandao	pull / lead (a cow) along	ʂa⁵⁵	ʂ a ⁵⁵	i n t	ʂ a ⁵⁵	12736
6399	Atsi	pull / lead (a cow) along	ʃe⁵¹	ʃ e ⁵¹	i n t	ʃ e ⁵¹	12736
8037	Maru	pull / lead (a cow) along	ʃɛ³¹	ʃ ɛ ³¹	i n t	ʃ ɛ ³¹	12736
9761	Bola	pull / lead (a cow) along	ʃɛ⁵⁵	ʃ ɛ ⁵⁵	i n t	ʃ ɛ ⁵⁵	12736
11332	Lashi	pull / lead (a cow) along	ʃɛ̱³³	ˀʃ ɛ ³³	i n t	ˀʃ ɛ ³³	12736
11713	Old_Burmese	pull / lead (a cow) along	cho₁yḥ	tɕh o j ⁵⁵	i n c t	tɕh o j ⁵⁵	12737
11714	Old_Burmese	pull / lead (a cow) along	ṅaṅ	ŋ a ŋ ²²	i n c t	ŋ a ŋ ²²	12739
#
1387	Rangoon	pull / tug	shwɛ⁵⁵	sʰ w ɛ ⁵⁵	i m n t	sʰ w ɛ ⁵⁵	12749
3102	Achang_Longchuan	pull / tug	ʑɔ³¹	ʑ ɔ ³¹	i n t	ʑ ɔ ³¹	12746
4586	Xiandao	pull / tug	m̥ʐan³⁵	m̥ʐ a n ³⁵	i n c t	m̥ʐ a n ³⁵	12750
6320	Atsi	pull / tug	ʃe⁵¹	ʃ e ⁵¹	i n t	ʃ e ⁵¹	12747
7960	Maru	pull / tug	lɔ̃³⁵	l ɔ̃ ∼ ³⁵	i n c t	l ɔ̃ ∼ ³⁵	12748
9682	Bola	pull / tug	lɔ̃³¹	l ɔ̃ ∼ ³¹	i n c t	l ɔ̃ ∼ ³¹	12748
11260	Lashi	pull / tug	laːŋ³³	l aː ŋ ³³	i n c t	l aː ŋ ³³	12748
#
1080	Rangoon	pull down (a house)	phjo²²	pʰ j o ²²	i m n t	pʰ j o - ²²	12755
2829	Achang_Longchuan	pull down (a house)	tʂhuaʔ⁵⁵	tʂʰ ua ʔ ⁵⁵	i n c t	tʂʰ ua ʔ ⁵⁵	494
4358	Xiandao	pull down (a house)	tʂhɔʔ⁵⁵	tʂh ɔ ʔ ⁵⁵	i n c t	tʂh ɔ ʔ ⁵⁵	494
6015	Atsi	pull down (a house)	phjoʔ⁵⁵	pʰ j o ʔ ⁵⁵	i m n c t	pʰ j o ʔ ⁵⁵	12755
7689	Maru	pull down (a house)	phjoʔ⁵⁵	ph j o ʔ ⁵⁵	i m n c t	ph j o ʔ ⁵⁵	12755
9390	Bola	pull down (a house)	phjaʔ⁵⁵	ph j a ʔ ⁵⁵	i m n c t	ph j a ʔ ⁵⁵	12755
11008	Lashi	pull down (a house)	phjɔːʔ⁵⁵	ph j ɔː ʔ ⁵⁵	i m n c t	ph j ɔː ʔ ⁵⁵	12755
#
1037	Rangoon	pull up (weeds)	hnoʔ⁴	n̥ o ʔ ⁴	i n c t	n̥ o ʔ ⁴	12762
2788	Achang_Longchuan	pull up (weeds)	thut⁵⁵	tʰ u t ⁵⁵	i n c t	tʰ u t ⁵⁵	12762
4325	Xiandao	pull up (weeds)	thut⁵⁵	th u t ⁵⁵	i n c t	th u t ⁵⁵	12762
5971	Atsi	pull up (weeds)	nut²¹	n u t ²¹	i n c t	n u t ²¹	12762
7653	Maru	pull up (weeds)	nat³¹	n a t ³¹	i n c t	n a t ³¹	12762
9348	Bola	pull up (weeds)	nɔt³¹	n ɔ t ³¹	i n c t	n ɔ t ³¹	12762
10973	Lashi	pull up (weeds)	nuːt³¹	n uː t ³¹	i n c t	n uː t ³¹	12762
#
129	Rangoon	pulse (wrist)	tθwe⁵⁵to⁵⁵	tθ w e ⁵⁵ + t o ⁵⁵	i m n t + i n t	tθ w e ⁵⁵ + t o ⁵⁵	12775 12773
1951	Achang_Longchuan	pulse (wrist)	lɔʔ⁵⁵məʔ³¹	l ɔ ʔ ⁵⁵ + m ə ʔ ³¹	i n c t + i n c t	l ɔ ʔ ⁵⁵ + m ə ʔ ³¹	6143 12771
3607	Xiandao	pulse (wrist)	lɔʔ⁵⁵kɯ³¹	l ɔ ʔ ⁵⁵ + k ɯ ³¹	i n c t + i n t	l ɔ ʔ ⁵⁵ + k ɯ ³¹	6143 12776
5063	Atsi	pulse (wrist)	sui²¹tʃho⁵¹	s u i ²¹ + tʃʰ o ⁵¹	i m n t + i n t	s u i ²¹ + tʃʰ o ⁵¹	1426 12773
6839	Maru	pulse (wrist)	sa³⁵tʃhɔʔ⁵⁵	s a ³⁵ + tʃh ɔ ʔ ⁵⁵	i n t + i n c t	s - a ³⁵ + tʃh ɔ ʔ ⁵⁵	1426 12774
8472	Bola	pulse (wrist)	sui³⁵	s ui ³⁵	i n t	s - ui ³⁵	1426
#
1575	Rangoon	pulse / beat	khõ²²	kʰ õ ∼ ²²	i n c t	kʰ õ ∼ ²²	12784
3287	Achang_Longchuan	pulse / beat	lə³¹	l ə ³¹	i n t	l ə ³¹	12782
4757	Xiandao	pulse / beat	kɔ³⁵	k ɔ ³⁵	i n t	k ɔ ³⁵	12785
6510	Atsi	pulse / beat	tui⁵¹	t u i ⁵¹	i m n t	t u i ⁵¹	274
8146	Maru	pulse / beat	tɔi³¹	t ɔi ³¹	i n t	t - ɔi ³¹	274
9872	Bola	pulse / beat	tui⁵⁵	t ui ⁵⁵	i n t	t - ui ⁵⁵	274
11431	Lashi	pulse / beat	təː³¹	t əː ³¹	i n t	t - əː ³¹	274
#
1731	Rangoon	pumpkin	ɕwe²²phɑ⁵³jõ²²tθi⁵⁵	ɕ w e ²² + pʰ ɑ ⁵³ + /ʔ j õ ∼ ²² + tθ i ⁵⁵	i m n t + i n t + i m n c t + i n t	ɕ w e ²² + pʰ ɑ ⁵³ + /ʔ j õ ∼ ²² + tθ i - ⁵⁵	12794 12792 12795 12790
3430	Achang_Longchuan	pumpkin	tʂhă³¹ʐɔm³⁵	tʂʰ ă ³¹ + ʐ ɔ m ³⁵	i n t + i n c t	tʂʰ ă - ³¹ + ʐ ɔ m ³⁵	12790 12791
4887	Xiandao	pumpkin	tshi³¹ʐum³⁵	tsh i ³¹ + ʐ u m ³⁵	i n t + i n c t	tsh i - ³¹ + ʐ u m ³⁵	12790 12791
6666	Atsi	pumpkin	phĕ⁵⁵xum⁵¹	pʰ ĕ ⁵⁵ + x u m ⁵¹	i n t + i n c t	pʰ ĕ ⁵⁵ + x u m ⁵¹	12792 12791
8297	Maru	pumpkin	tʃa̱ŋ³⁵ku̱³¹	ˀtʃ a ŋ ³⁵ + ˀk u ³¹	i n c t + i n t	ˀtʃ a ŋ ³⁵ + ˀk u ³¹	12790 12793
10024	Bola	pumpkin	xam⁵⁵kɔ̱³¹	x a m ⁵⁵ + ˀk ɔ ³¹	i n c t + i n t	x a m ⁵⁵ + ˀk ɔ ³¹	12791 12793
11556	Lashi	pumpkin	tʃu̱ŋ³³ku⁵³	ˀtʃ u ŋ ³³ + k u ⁵³	i n c t + i n t	ˀtʃ u ŋ ³³ + k u ⁵³	12790 12793
#
1120	Rangoon	punch a hole / perforate	phɑuʔ⁴	pʰ ɑ u ʔ ⁴	i n N c t	pʰ ɑ u ʔ ⁴	12811
2864	Achang_Longchuan	punch a hole / perforate	thoŋ³¹	tʰ o ŋ ³¹	i n c t	tʰ o ŋ ³¹	2809
4389	Xiandao	punch a hole / perforate	thʐoŋ³¹	thʐ o ŋ ³¹	i n c t	thʐ o ŋ ³¹	2809
6055	Atsi	punch a hole / perforate	lo̱ʔ⁵⁵ʒot²¹	ˀl o ʔ ⁵⁵ + ʒ o t ²¹	i n c t + i n c t	ˀl o ʔ ⁵⁵ + ʒ o t ²¹	1175 12809
7725	Maru	punch a hole / perforate	phuŋ⁵⁵	ph u ŋ ⁵⁵	i n c t	ph u ŋ ⁵⁵	12810
9430	Bola	punch a hole / perforate	la̱ʔ⁵⁵phuŋ³¹	ˀl a ʔ ⁵⁵ + ph u ŋ ³¹	i n c t + i n c t	ˀl a ʔ ⁵⁵ + ph u ŋ ³¹	1175 12810
#
1119	Rangoon	puncture (sthg.)	pɑuʔ⁴	p ɑ u ʔ ⁴	i n N c t	p ɑ u ʔ ⁴	12820
2863	Achang_Longchuan	puncture (sthg.)	toŋ³¹	t o ŋ ³¹	i n c t	t o ŋ ³¹	12816
4388	Xiandao	puncture (sthg.)	tʐoŋ³¹	tʐ o ŋ ³¹	i n c t	tʐ o ŋ ³¹	12816
6054	Atsi	puncture (sthg.)	ʒot²¹	ʒ o t ²¹	i n c t	ʒ o t ²¹	12817
7724	Maru	puncture (sthg.)	puŋ³⁵	p u ŋ ³⁵	i n c t	p u ŋ ³⁵	12818
9429	Bola	puncture (sthg.)	puŋ³⁵	p u ŋ ³⁵	i n c t	p u ŋ ³⁵	12818
11039	Lashi	puncture (sthg.)	thau⁵⁵phaŋ³³	th au ⁵⁵ + ph a ŋ ³³	i n t + i n c t	th au ⁵⁵ + ph a ŋ ³³	12819 12818
#
1213	Rangoon	punish	dɑ̃²² tɑʔ⁴	d ɑ̃ ∼ ²² + t ɑ ʔ ⁴	i n c t + i n c t	d ɑ̃ ∼ ²² + t ɑ ʔ ⁴	12828 12829
2951	Achang_Longchuan	punish	tshek⁵⁵	tsʰ e k ⁵⁵	i n c t	tsʰ e k ⁵⁵	8326
4463	Xiandao	punish	tʂhɯk⁵⁵	tʂh ɯ k ⁵⁵	i n c t	tʂh ɯ k ⁵⁵	8326
6147	Atsi	punish	tʃhup⁵⁵	tʃʰ u p ⁵⁵	i n c t	tʃʰ u p ⁵⁵	12826
7807	Maru	punish	fa³¹	f a ³¹	i n t	f a ³¹	12827
9515	Bola	punish	tʃhap⁵⁵	tʃh a p ⁵⁵	i n c t	tʃh a p ⁵⁵	12826
#
157	Rangoon	pus	pji²²	p j i ²²	i m n t	p j i - ²²	12833
1977	Achang_Longchuan	pus	pʐəŋ⁵⁵	p ʐ ə ŋ ⁵⁵	i m n c t	p ʐ ə ŋ ⁵⁵	12833
3631	Xiandao	pus	pɯŋ⁵⁵	p ɯ ŋ ⁵⁵	i n c t	p - ɯ ŋ ⁵⁵	12833
5091	Atsi	pus	pjiŋ⁵¹viŋ²¹	p j i ŋ ⁵¹ + v i ŋ ²¹	i m n c t + i n c t	p j i ŋ ⁵¹ + v i ŋ ²¹	12833 12834
6863	Maru	pus	pjaŋ³¹kjɔ̱ʔ⁵⁵	p j a ŋ ³¹ + ˀk j ɔ ʔ ⁵⁵	i m n c t + i m n c t	p j a ŋ ³¹ + ˀk j ɔ ʔ ⁵⁵	12833 12837
8497	Bola	pus	pjaŋ⁵⁵ɣaŋ³¹	p j a ŋ ⁵⁵ + ɣ a ŋ ³¹	i m n c t + i n c t	p j a ŋ ⁵⁵ + ɣ a ŋ ³¹	12833 12835
10221	Lashi	pus	xua̱t⁵⁵	ˀx u a t ⁵⁵	i m n c t	ˀx u a t ⁵⁵	12836
11946	Old_Burmese	pus	prañ	p r a ɲ ²²	i m n c t	p r a ɲ ²²	12833
#
1585	Rangoon	push / shove	tũ⁵⁵	t ũ ∼ ⁵⁵	i n c t	t ũ ∼ ⁵⁵	12845
3297	Achang_Longchuan	push / shove	tun³¹	t u n ³¹	i n c t	t u n ³¹	12845
4765	Xiandao	push / shove	tun³¹	t u n ³¹	i n c t	t u n ³¹	12845
6520	Atsi	push / shove	tʃu̱n²¹	ˀtʃ u n ²¹	i n c t	ˀtʃ u n ²¹	12845
8156	Maru	push / shove	tʃu̱m³⁵	ˀtʃ u m ³⁵	i n c t	ˀtʃ u m ³⁵	12845
9882	Bola	push / shove	tʃɔ̱n³⁵	ˀtʃ ɔ n ³⁵	i n c t	ˀtʃ ɔ n ³⁵	12845
11439	Lashi	push / shove	tuːn³³	t uː n ³³	i n c t	t uː n ³³	12845
11715	Old_Burmese	push / shove	to₁nḥ	t o n ⁵⁵	i n c t	t o n ⁵⁵	12845
11716	Old_Burmese	push / shove	tuiwḥ	t ə w ⁵⁵	i n c t	t ə w ⁵⁵	12846
#
1236	Rangoon	put (soil) on	phõ⁵⁵	pʰ õ ∼ ⁵⁵	i n c t	pʰ õ ∼ ⁵⁵	12857
2970	Achang_Longchuan	put (soil) on	muk³⁵	m u k ³⁵	i n c t	m u k ³⁵	12855
4480	Xiandao	put (soil) on	m̥um³¹	m̥ u m ³¹	i n c t	m̥ u m ³¹	12858
6168	Atsi	put (soil) on	ŋo̱p⁵⁵	ˀŋ o p ⁵⁵	i n c t	ˀŋ o p ⁵⁵	3718
7827	Maru	put (soil) on	ŋø̱ʔ⁵⁵	ˀŋ ø ʔ ⁵⁵	i n c t	ˀŋ ø ʔ ⁵⁵	3718
