ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
574	x e n k oː j a n a n	*xenkōjanan	x e n k oː j a n ( a n )	xenkoːjanan	*xenkōjanan	158	Proto-Germanic			
575	h ɪ ŋ k ə n	*xenkōjanan	h ɪ ŋ k - - ə n ( - - )	hɪŋkən	hinken	158	German			
576	h ɪ ŋ k ə	*xenkōjanan	h ɪ ŋ k - - ə - ( - - )	hɪŋkə	hinken	158	Dutch			
577	d eː d i z	*dēdiz	d eː d ( i z )	deːdiz	*dēdiz	159	Proto-Germanic		C V C	
578	t aː t	*dēdiz	t aː t ( - - )	taːt	Tat	159	German			
579	d iː d	*dēdiz	d iː d ( - - )	diːd	deed	159	English			
580	d aː t	*dēdiz	d aː t ( - - )	daːt	daad	159	Dutch			
581	b e n d a n a n	*bendanan	b e n d a n ( a n )	bendanan	*bendanan	160	Proto-Germanic		C V C c v c	
582	b ɪ n d ə n	*bendanan	b ɪ n d ə n ( - - )	bɪndən	binden	160	German			
583	b aɪ n d	*bendanan	b aɪ n d - - ( - - )	baɪnd	bind	160	English			
584	b ɪ n d ə	*bendanan	b ɪ n d ə - ( - - )	bɪndə	binden	160	Dutch			
585	θ e n x s l oː	*θenxslō	θ e ( n ) x s - l ( oː )	θenxsloː	*θenxslō	161	Proto-Germanic			
586	d ai k s ə l	*θenxslō	d ai ( - ) k s ə l ( - )	daiksəl	Deichsel	161	German			
587	d ɪ s ə l	*θenxslō	d ɪ ( - ) - s ə l ( - )	dɪsəl	dissel	161	Dutch	BOR		
588	s k u l d r oː	*skuldrō	s k u l d - r ( oː )	skuldroː	*skuldrō	162	Proto-Germanic			
589	ʃ ʊ l t ə r	*skuldrō	ʃ - ʊ l t ə r ( - )	ʃʊltər	Schulter	162	German			
590	ʃ əʊ l d ə r	*skuldrō	ʃ - əʊ l d ə r ( - )	ʃəʊldər	shoulder	162	English			
591	s x ɑu d ə r	*skuldrō	s x ɑu - d ə r ( - )	sxɑudər	schouder	162	Dutch			
592	s t u r k a z	*sturkaz	s t u r k ( a z )	sturkaz	*sturkaz	163	Proto-Germanic			
593	ʃ t ɔ r x	*sturkaz	ʃ t ɔ r x ( - - )	ʃtɔrx	Storch	163	German			
594	s t ɔː k	*sturkaz	s t ɔː - k ( - - )	stɔːk	stork	163	English			
595	x u z d a n	*xuzdan	x u z d ( a n )	xuzdan	*xuzdan	164	Proto-Germanic			
596	h ɔ r t	*xuzdan	h ɔ r t ( - - )	hɔrt	Hort	164	German			
597	h ɔː d	*xuzdan	h ɔː - d ( - - )	hɔːd	hoard	164	English			
598	kʷ a l oː	*kwalō	kʷ a l ( oː )	kwaloː	*kwalō	165	Proto-Germanic		C V C	
599	kv aː l	*kwalō	kv aː l ( - )	kvaːl	Qual	165	German			
600	kʋ aː l	*kwalō	kʋ aː l ( - )	kʋaːl	kwaal	165	Dutch			
601	e n d	*end	- e n ( d )	end	*end	166	Proto-Germanic		- V C	
602	ai n	*end	- ai n ( - )	ain	ein	166	German			
603	ʋ ʌ n	*end	ʋ ʌ n ( - )	ʋʌn	one	166	English			
604	eː n	*end	- eː n ( - )	eːn	een	166	Dutch			
605	s t oː d a n	*stōdan	s t oː d a ( n )	stoːdan	*stōdan	167	Proto-Germanic			
606	ʃ t uː t ə	*stōdan	ʃ t uː t ə ( - )	ʃtuːtə	Stute	167	German			
607	s t ʌ d	*stōdan	s t ʌ d - ( - )	stʌd	stud	167	English			
608	r a θ a n	*raθan	r a θ ( a n )	raθan	*raθan	168	Proto-Germanic			
609	r aː t	*raθan	r aː d ( - - )	raːt	Rad	168	German			
610	r ɑ t	*raθan	r ɑ t ( - - )	rɑt	rad	168	Dutch			
611	θ u r p a n	*θurpan	θ u r p ( a n )	θurpan	*θurpan	169	Proto-Germanic			
612	d ɔ r f	*θurpan	d ɔ r f ( - - )	dɔrf	Dorf	169	German			
613	d ɔ r p	*θurpan	d ɔ r p ( - - )	dɔrp	dorp	169	Dutch			
614	l i b eː n a n	*libēnan	l i b eː n ( a n )	libeːnan	*libēnan	170	Proto-Germanic		C V c v c	
615	l eː b ə n	*libēnan	l eː b ə n ( - - )	leːbən	leben	170	German			
616	l aɪ v	*libēnan	l aɪ v - - ( - - )	laɪv	live	170	English			
617	l eː v ə	*libēnan	l eː v ə - ( - - )	leːvə	leven	170	Dutch			
618	g e f t i z	*geftiz	g e f t ( i z )	geftiz	*geftiz	171	Proto-Germanic		C V C C	
619	ɡ ɪ f t	*geftiz	ɡ ɪ f t ( - - )	ɡɪft	Gift	171	German			
620	ɡ ɪ f t	*geftiz	ɡ ɪ f t ( - - )	ɡɪft	gift	171	English			
621	x ɪ f t	*geftiz	x ɪ f t ( - - )	xɪft	gift	171	Dutch			
622	x u r n a n	*xurnan	x u r n ( a n )	xurnan	*xurnan	172	Proto-Germanic			
623	h ɔ r n	*xurnan	h ɔ r n ( - - )	hɔrn	Horn	172	German			
624	h ɔː n	*xurnan	h ɔː - n ( - - )	hɔːn	horn	172	English			
625	h oː r n	*xurnan	h oː r n ( - - )	hoːrn	hoorn	172	Dutch			
626	n a b oː	*nabō	n a b ( oː )	naboː	*nabō	173	Proto-Germanic		C V C	
627	n aː b ə	*nabō	n aː b ( ə )	naːbə	Nabe	173	German			
628	n eɪ v	*nabō	n eɪ v ( - )	neɪv	nave	173	English			
629	n aː f	*nabō	n aː f ( - )	naːf	naaf	173	Dutch			
630	x e l m a z	*xelmaz	x e l m ( a z )	xelmaz	*xelmaz	174	Proto-Germanic			
631	h ɛ l m	*xelmaz	h ɛ l m ( - - )	hɛlm	Helm	174	German			
632	h ɛ l m	*xelmaz	h ɛ l m ( - - )	hɛlm	helm	174	English			
633	h ɛ l m	*xelmaz	h ɛ l m ( - - )	hɛlm	helm	174	Dutch			
634	w a g n a z	*wagnaz	w a g - n ( a z )	wagnaz	*wagnaz	175	Proto-Germanic			
635	v aː ɡ ə n	*wagnaz	v aː ɡ ə n ( - - )	vaːɡən	Wagen	175	German			
636	ʋ eɪ n	*wagnaz	ʋ eɪ - - n ( - - )	ʋeɪn	wain	175	English			
637	ʋ aː ɣ ə	*wagnaz	ʋ aː ɣ ə - ( - - )	ʋaːɣə	wagen	175	Dutch			
638	b oː	*bō	b oː ( - - )	boː	*bō	176	Proto-Germanic		C V	
639	b ai d ə	*bō	b ai ( d ə )	baidə	beide	176	German			
640	b əʊ θ	*bō	b əʊ ( θ - )	bəʊθ	both	176	English			
641	b ɛɪ d ə	*bō	b ɛɪ ( d ə )	bɛɪdə	beide	176	Dutch			
642	m e l d oː n	*meldōn	m e l d ( oː n )	meldoːn	*meldōn	177	Proto-Germanic		C V C C	
643	m ɛ l d ə	*meldōn	m ɛ l d ( ə - )	mɛldə	Melde	177	German	BOR		
645	m ɛ l d ə	*meldōn	m ɛ l d ( ə - )	mɛldə	melde	177	Dutch			
646	m i z d oː	*mizdō	m i z d ( oː )	mizdoː	*mizdō	178	Proto-Germanic		C V C C	
647	m iː t ə	*mizdō	m iː - t ( ə )	miːtə	Miete	178	German			
648	m iː d	*mizdō	m iː - d ( - )	miːd	meed	178	English			
649	θ eu b a z	*θeubaz	θ eu b ( a z )	θeubaz	*θeubaz	179	Proto-Germanic			
650	d iː p	*θeubaz	d iː b ( - - )	diːp	Dieb	179	German			
651	θ iː f	*θeubaz	θ iː f ( - - )	θiːf	thief	179	English			
652	d iː f	*θeubaz	d iː f ( - - )	diːf	dief	179	Dutch			
653	w a d a n a n	*wadanan	w a d a n ( a n )	wadanan	*wadanan	180	Proto-Germanic			
654	v aː t ə n	*wadanan	v aː t ə n ( - - )	vaːtən	waten	180	German			
655	ʋ eɪ d	*wadanan	ʋ eɪ d - - ( - - )	ʋeɪd	wade	180	English			
656	ʋ aː d ə	*wadanan	ʋ aː d ə - ( - - )	ʋaːdə	waden	180	Dutch			
657	w e d r a n	*wedran	w e d - r ( a n )	wedran	*wedran	181	Proto-Germanic			
658	v ɛ t ə r	*wedran	v ɛ t ə r ( - - )	vɛtər	Wetter	181	German			
659	ʋ ɛ ð ə r	*wedran	ʋ ɛ ð ə r ( - - )	ʋɛðər	weather	181	English			
660	ʋ eː d ə r	*wedran	ʋ eː d ə r ( - - )	ʋeːdər	weder	181	Dutch			
661	l au b a n	*lauban	l au b ( a n )	lauban	*lauban	182	Proto-Germanic		C V C	
662	l au p	*lauban	l au b ( - - )	laup	Laub	182	German			
663	l iː f	*lauban	l iː f ( - - )	liːf	leaf	182	English			
664	l oː f	*lauban	l oː f ( - - )	loːf	loof	182	Dutch			
665	m e l u k z	*melukz	m e l u k ( z )	melukz	*melukz	183	Proto-Germanic		C V c v c	
666	m ɪ l x	*melukz	m ɪ l - x ( - )	mɪlx	Milch	183	German			
667	m ɪ l k	*melukz	m ɪ l - k ( - )	mɪlk	milk	183	English			
668	m ɛ l k	*melukz	m ɛ l - k ( - )	mɛlk	melk	183	Dutch			
669	s t u r m a z	*sturmaz	s t u r m ( a z )	sturmaz	*sturmaz	184	Proto-Germanic			
670	ʃ t ʊ r m	*sturmaz	ʃ t ʊ r m ( - - )	ʃtʊrm	Sturm	184	German			
671	s t ɔː m	*sturmaz	s t ɔː - m ( - - )	stɔːm	storm	184	English			
672	s t ɔ r m	*sturmaz	s t ɔ r m ( - - )	stɔrm	storm	184	Dutch			
673	w eː p n a n	*wēpnan	w eː p n a n	weːpnan	*wēpnan	185	Proto-Germanic			
674	v a f ə	*wēpnan	v a f - ə -	vafə	Waffe	185	German			
675	ʋ ɛ p ə n	*wēpnan	ʋ ɛ p - ə n	ʋɛpən	weapon	185	English			
676	ʋ aː p ə	*wēpnan	ʋ aː p - ə -	ʋaːpə	wapen	185	Dutch			
677	s w e lː a n a n	*swellanan	s w e lː a n ( a n )	swellanan	*swellanan	186	Proto-Germanic			
678	ʃ v ɛ l ə n	*swellanan	ʃ v ɛ l ə n ( - - )	ʃvɛlən	schwellen	186	German			
679	s ʋ ɛ l	*swellanan	s ʋ ɛ l - - ( - - )	sʋɛl	swell	186	English			
680	l u b a n	*luban	l u b ( a n )	luban	*luban	187	Proto-Germanic		C V C	
681	l oː p	*luban	l oː b ( - - )	loːp	Lob	187	German			
682	l ɔ f	*luban	l ɔ f ( - - )	lɔf	lof	187	Dutch			
683	u x s oː n	*uxsōn	u x s oː ( n )	uxsoːn	*uxsōn	188	Proto-Germanic			
684	ɔ k s ə	*uxsōn	ɔ k s ə ( - )	ɔksə	Ochse	188	German			
685	ɔ k s	*uxsōn	ɔ k s - ( - )	ɔks	ox	188	English			
686	ɔ s	*uxsōn	ɔ - s - ( - )	ɔs	os	188	Dutch			
687	w ai n oː j a n a n	*wainōjanan	w ai n oː j a n a n	wainoːjanan	*wainōjanan	189	Proto-Germanic			
688	v ai n ə n	*wainōjanan	v ai n - - ə n - -	vainən	weinen	189	German			
689	ʋ aɪ n	*wainōjanan	ʋ aɪ n - - - - - -	ʋaɪn	whine	189	English			
690	s u n u z	*sunuz	s u n ( u z )	sunuz	*sunuz	190	Proto-Germanic			
691	z oː n	*sunuz	z oː n ( - - )	zoːn	Sohn	190	German			
692	z oː n	*sunuz	z oː n ( - - )	zoːn	zoon	190	Dutch			
693	w a x s a n a n	*waxsanan	w a x s a n ( a n )	waxsanan	*waxsanan	191	Proto-Germanic			
694	v a k s ə n	*waxsanan	v a k s ə n ( - - )	vaksən	wachsen	191	German			
695	ʋ æ k s	*waxsanan	ʋ æ k s - - ( - - )	ʋæks	wax	191	English			
696	ʋ ɑ s ə	*waxsanan	ʋ ɑ - s ə - ( - - )	ʋɑsə	wassen	191	Dutch			
697	f e l θ u z	*felθuz	f e l θ ( u z )	felθuz	*felθuz	192	Proto-Germanic		C V C C	
698	f ɛ l t	*felθuz	f ɛ l d ( - - )	fɛlt	Feld	192	German			
699	f iː l d	*felθuz	f iː l d ( - - )	fiːld	field	192	English			
700	v ɛ l t	*felθuz	v ɛ l t ( - - )	vɛlt	veld	192	Dutch			
701	w a l θ u z	*walθuz	w a l θ ( u z )	walθuz	*walθuz	193	Proto-Germanic			
702	v a l t	*walθuz	v a l d ( - - )	valt	Wald	193	German			
703	ʋ əʊ l d	*walθuz	ʋ əʊ l d ( - - )	ʋəʊld	wold	193	English			
704	ʋ ɑu t	*walθuz	ʋ ɑu - t ( - - )	ʋɑut	woud	193	Dutch			
705	r au k i z	*raukiz	r au k ( i z )	raukiz	*raukiz	194	Proto-Germanic			
706	r au x	*raukiz	r au x ( - - )	raux	Rauch	194	German			
707	r iː k	*raukiz	r iː k ( - - )	riːk	reek	194	English			
708	r oː k	*raukiz	r oː k ( - - )	roːk	rook	194	Dutch			
709	uː r u z	*ūruz	uː - r ( u - z - )	uːruz	*ūruz	195	Proto-Germanic			
710	au ə r ɔ k s ə	*ūruz	au ə r ( ɔ k s ə )	auərɔksə	Auerochse	195	German			
711	uː r ɔ s	*ūruz	uː - r ( ɔ - s - )	uːrɔs	oeros	195	Dutch			
712	θ e n g a z	*θengaz	θ e n g ( a z )	θengaz	*θengaz	196	Proto-Germanic			
713	d ɪ ŋ	*θengaz	d ɪ ŋ - ( - - )	dɪŋ	Ding	196	German			
714	θ ɪ ŋ	*θengaz	θ ɪ ŋ - ( - - )	θɪŋ	thing	196	English			
715	d ɪ ŋ	*θengaz	d ɪ ŋ - ( - - )	dɪŋ	ding	196	Dutch			
716	m oː d a z	*mōdaz	m oː d ( a z )	moːdaz	*mōdaz	197	Proto-Germanic		C V C	
717	m uː t	*mōdaz	m uː t ( - - )	muːt	Mut	197	German			
718	m uː d	*mōdaz	m uː d ( - - )	muːd	mood	197	English			
719	m uː t	*mōdaz	m uː t ( - - )	muːt	moed	197	Dutch			
720	s k uː f l oː	*skūflō	s k uː f - l ( oː )	skuːfloː	*skūflō	198	Proto-Germanic			
721	ʃ au f ə l	*skūflō	ʃ - au f ə l ( - )	ʃaufəl	Schaufel	198	German			
722	ʃ ʌ v ə l	*skūflō	ʃ - ʌ v ə l ( - )	ʃʌvḷ	shovel	198	English			
723	s x ɔ f ə l	*skūflō	s x ɔ f ə l ( - )	sxɔfəl	schoffel	198	Dutch			
724	s e g e z	*segez	s e g e ( z )	segez	*segez	199	Proto-Germanic			
725	z iː k	*segez	z iː k ( - - )	ziːk	Sieg	369	German			
726	z eː ɣ ə	*segez	z eː ɣ ə ( - )	zeːɣə	zege	199	Dutch			
1933	s e g e z	*segez	s e g ( e z )	segez	*segez	369	Proto-Germanic			
727	r a n d i z	*randiz	r a n d ( i z )	randiz	*randiz	200	Proto-Germanic			
728	r a n t	*randiz	r a n d ( - - )	rant	Rand	200	German			
729	r ɑ n t	*randiz	r ɑ n t ( - - )	rɑnt	rand	200	Dutch			
730	s t r a kː j a n a n	*strakkjanan	s t r a kː j a n ( a n )	strakkjanan	*strakkjanan	201	Proto-Germanic			
731	ʃ t r ɛ k ə n	*strakkjanan	ʃ t r ɛ k - ə n ( - - )	ʃtrɛkən	strecken	201	German			
732	s t r ɛ ʧ	*strakkjanan	s t r ɛ ʧ - - - ( - - )	strɛʧ	stretch	201	English			
733	s t r ɛ k ə	*strakkjanan	s t r ɛ k - ə - ( - - )	strɛkə	strekken	201	Dutch			
734	r u s t oː	*rustō	r u s t ( oː )	rustoː	*rustō	202	Proto-Germanic			
735	r ɔ s t	*rustō	r ɔ s t ( - )	rɔst	Rost	202	German			
736	r ʌ s t	*rustō	r ʌ s t ( - )	rʌst	rust	202	English			
737	r uː s t	*rustō	r uː s t ( - )	ruːst	roest	202	Dutch			
738	s t a n g oː	*stangō	s t a n g ( oː )	stangoː	*stangō	203	Proto-Germanic			
739	ʃ t a ŋ ə	*stangō	ʃ t a ŋ - ( ə )	ʃtaŋə	Stange	203	German			
740	s t ɑ ŋ	*stangō	s t ɑ ŋ - ( - )	stɑŋ	stang	203	Dutch			
741	d r a n k a n	*drankan	d r a n k ( a n )	drankan	*drankan	204	Proto-Germanic		C C V C C	
742	t r a ŋ k	*drankan	t r a ŋ k ( - - )	traŋk	Trank	204	German			
743	d r ɛ n ʧ	*drankan	d r ɛ n ʧ ( - - )	drɛnʧ	drench	204	English			
744	d r ɑ ŋ k	*drankan	d r ɑ ŋ k ( - - )	drɑŋk	drank	204	Dutch			
745	g a lː a n	*gallan	g a lː a ( n )	gallan	*gallan	205	Proto-Germanic		C  V c v	
746	ɡ a l ə	*gallan	ɡ a l ə ( - )	ɡalə	Galle	205	German			
747	ɡ ɔː l	*gallan	ɡ ɔː l - ( - )	ɡɔːl	gall	205	English			
748	x ɑ l	*gallan	x ɑ l - ( - )	xɑl	gal	205	Dutch			
749	g e b a n a n	*gebanan	g e b a n ( a n )	gebanan	*gebanan	206	Proto-Germanic		C V c v	
750	ɡ eː b ə n	*gebanan	ɡ eː b ə n ( - - )	ɡeːbən	geben	206	German			
751	ɡ ɪ v	*gebanan	ɡ ɪ v - - ( - - )	ɡɪv	give	206	English			
752	x eː v ə	*gebanan	x eː v ə - ( - - )	xeːvə	geven	206	Dutch			
753	x a g oː n	*xagōn	x a g ( oː n )	xagoːn	*xagōn	207	Proto-Germanic			
754	h aː k	*xagōn	h aː k ( - - )	haːk	Hag	207	German			
755	h ɔː	*xagōn	h ɔː - ( - - )	hɔː	haw	207	English			
756	h aː x	*xagōn	h aː x ( - - )	haːx	haag	207	Dutch			
757	m eː n oː θ z	*mēnōθz	m eː n oː θ ( z )	meːnoːθz	*mēnōθz	208	Proto-Germanic		C V c v c	
758	m oː n aː t	*mēnōθz	m oː n a t ( - )	moːnaːt	Monat	208	German	IRR		
759	m ʌ n θ	*mēnōθz	m ʌ n - θ ( - )	mʌnθ	month	208	English			
760	m aː n t	*mēnōθz	m aː n - t ( - )	maːnt	maand	208	Dutch			
761	d ai g a z	*daigaz	d ai g ( a z )	daigaz	*daigaz	209	Proto-Germanic		C V C	
762	t ai k	*daigaz	t ai k ( - - )	taik	Teig	209	German			
763	d əʊ	*daigaz	d əʊ - ( - - )	dəʊ	dough	209	English			
764	d eː x	*daigaz	d eː x ( - - )	deːx	deeg	209	Dutch			
765	w e r θ a n a n	*werθanan	w e r θ a n ( a n )	werθanan	*werθanan	210	Proto-Germanic			
766	v eː r d ə n	*werθanan	v eː r d ə n ( - - )	veːrdən	werden	210	German			
767	ʋ ɔ r d ə	*werθanan	ʋ ɔ r d ə - ( - - )	ʋɔrdə	worden	210	Dutch			
768	k n a kː a z	*knakkaz	k n a kː a z	knakkaz	*knakkaz	211	Proto-Germanic		C C V c v c	
769	k n ɛ x t	*knakkaz	k n ɛ x - t	knɛxt	Knecht	211	German			
770	n aɪ t	*knakkaz	- n aɪ - - t	naɪt	knight	211	English			
771	k n ɛ x t	*knakkaz	k n ɛ x - t	knɛxt	knecht	211	Dutch			
772	eː l a z	*ēlaz	eː l ( a z )	eːlaz	*ēlaz	212	Proto-Germanic		V C	
773	aː l	*ēlaz	aː l ( - - )	aːl	Aal	212	German			
774	iː l	*ēlaz	iː l ( - - )	iːl	eel	212	English			
775	aː l	*ēlaz	aː l ( - - )	aːl	aal	212	Dutch			
776	f u l k a n	*fulkan	f u l k ( a n )	fulkan	*fulkan	213	Proto-Germanic		C V C C	
777	f ɔ l k	*fulkan	f ɔ l k ( - - )	fɔlk	Volk	213	German			
778	f əʊ k	*fulkan	f əʊ - k ( - - )	fəʊk	folk	213	English			
779	v ɔ l k	*fulkan	v ɔ l k ( - - )	vɔlk	volk	213	Dutch			
780	d a g a z	*dagaz	d a g ( a z )	dagaz	*dagaz	214	Proto-Germanic		C V C	
781	t aː k	*dagaz	t aː k ( - - )	taːk	Tag	214	German			
782	d eɪ	*dagaz	d eɪ - ( - - )	deɪ	day	214	English			
783	d ɑ x	*dagaz	d ɑ x ( - - )	dɑx	dag	214	Dutch			
784	l au k a z	*laukaz	l au k ( a z )	laukaz	*laukaz	215	Proto-Germanic		C V C	
785	l au x	*laukaz	l au x ( - - )	laux	Lauch	215	German			
786	l iː k	*laukaz	l iː k ( - - )	liːk	leek	215	English			
787	l uː k	*laukaz	l uː k ( - - )	luːk	look	215	Dutch			
788	g r a s a n	*grasan	g r a s ( a n )	grasan	*grasan	216	Proto-Germanic		C C V C	
789	ɡ r aː s	*grasan	ɡ r aː s ( - - )	ɡraːs	Gras	216	German			
790	ɡ r ɑː s	*grasan	ɡ r ɑː s ( - - )	ɡrɑːs	grass	216	English			
791	x r ɑ s	*grasan	x r ɑ s ( - - )	xrɑs	gras	216	Dutch			
792	w e r d u z	*werduz	w e r d ( u z )	werduz	*werduz	217	Proto-Germanic			
793	v ɪ r t	*werduz	v ɪ r t ( - - )	vɪrt	Wirt	217	German			
794	ʋ aː r t	*werduz	ʋ aː r t ( - - )	ʋaːrt	waard	217	Dutch			
795	b r a n d a z	*brandaz	b r a n d ( a z )	brandaz	*brandaz	218	Proto-Germanic		C C V C C	
796	b r a n t	*brandaz	b r a n d ( - - )	brant	Brand	218	German			
797	b r æ n d	*brandaz	b r æ n d ( - - )	brænd	brand	218	English			
798	b r ɑ n t	*brandaz	b r ɑ n t ( - - )	brɑnt	brand	218	Dutch			
799	s iː n a z	*sīnaz poss.	s iː n ( a z )	siːnaz_poss.	*sīnaz poss.	219	Proto-Germanic			
800	z ai n	*sīnaz poss.	z ai n ( - - )	zain	sein	219	German			
801	z ɛɪ n	*sīnaz poss.	z ɛɪ n ( - - )	zɛɪn	zijn	219	Dutch			
802	b a k i z	*bakiz	b a k ( i z )	bakiz	*bakiz	220	Proto-Germanic			
803	b a x	*bakiz	b a x ( - - )	bax	Bach	220	German		C V C	
804	b eː k	*bakiz	b eː k ( - - )	beːk	beek	220	Dutch			
805	w iː s j a n a n	*wīsjanan	w iː s j a n ( a n )	wiːsjanan	*wīsjanan	221	Proto-Germanic			
806	v ai z ə n	*wīsjanan	v ai z - ə n ( - - )	vaizən	weisen	221	German			
807	ʋ ɛɪ z ə	*wīsjanan	ʋ ɛɪ z - ə - ( - - )	ʋɛɪzə	wijzen	221	Dutch			
808	x a w j a n	*xawwjan	x a w ( j a n )	xawwjan	*xawwjan	222	Proto-Germanic			
809	h ɔy	*xawwjan	h ɔy - ( - - - )	hɔy	Heu	222	German			
810	h eɪ	*xawwjan	h eɪ - ( - - - )	heɪ	hay	222	English			
811	h oː j	*xawwjan	h oː - ( j - - )	hoːj	hooi	222	Dutch			
812	t e m r a n	*temran	t e m - - r ( a n )	temran	*temran	223	Proto-Germanic			
813	ts ɪ m ə r	*temran	ts ɪ m - ə r ( - - )	t͡sɪmər	Zimmer	223	German			
814	t ɪ m b ə r	*temran	t ɪ m b ə r ( - - )	tɪmbər	timber	223	English			
815	b u θ m a z	*budmaz	b u θ - m ( a z )	budmaz	*budmaz	224	Proto-Germanic		C V C C	
816	b oː d ə n	*budmaz	b oː d ə n ( - - )	boːdən	Boden	224	German	BOR		
817	b ɔ t ə m	*budmaz	b ɔ t ə m ( - - )	bɔtəm	bottom	224	English			
818	b oː d ə m	*budmaz	b oː d ə m ( - - )	boːdəm	bodem	224	Dutch			
819	u z d a z	*uzdaz	u z d ( a z )	uzdaz	*uzdaz	225	Proto-Germanic			
820	ɔ r t	*uzdaz	ɔ r t ( - - )	ɔrt	Ort	225	German			
821	oː r t	*uzdaz	oː r t ( - - )	oːrt	oord	225	Dutch			
822	x r oː p a n a n	*xrōpanan	x r oː p a n ( a n )	xroːpanan	*xrōpanan	226	Proto-Germanic			
823	r uː f ə n	*xrōpanan	- r uː f ə n ( - - )	ruːfən	rufen	226	German			
824	r uː p ə	*xrōpanan	- r uː p ə - ( - - )	ruːpə	roepen	226	Dutch			
825	s t e b n oː	*stebnō	s t e b n oː	stebnoː	*stebnō	227	Proto-Germanic			
826	ʃ t ɪ m ə	*stebnō	ʃ t ɪ - m ə	ʃtɪmə	Stimme	227	German			
827	s t ɛ m	*stebnō	s t ɛ - m -	stɛm	stem	227	Dutch			
828	j u k a n	*jukan	j u k ( a n )	jukan	*jukan	228	Proto-Germanic		C V C	
829	j ɔ x	*jukan	j ɔ x ( - - )	jɔx	Joch	228	German			
830	j əʊ k	*jukan	j əʊ k ( - - )	jəʊk	yoke	228	English			
831	j ʉ k	*jukan	j ʉ k ( - - )	jʉk	juk	228	Dutch			
832	s p a r eː n a n	*sparēnan	s p a r eː n ( a n )	spareːnan	*sparēnan	229	Proto-Germanic			
833	ʃ p aː r ə n	*sparēnan	ʃ p aː r ə n ( - - )	ʃpaːrən	sparen	229	German			
834	s p ɛə r	*sparēnan	s p ɛə r - - ( - - )	spɛər	spare	229	English			
835	s p aː r ə	*sparēnan	s p aː r ə - ( - - )	spaːrə	sparen	229	Dutch			
836	l iː b a n	*līban	l iː b ( a n )	liːban	*līban	230	Proto-Germanic		C V C	
837	l ai p	*līban	l ai b ( - - )	laip	Leib	230	German			
838	l aɪ f	*līban	l aɪ f ( - - )	laɪf	life	230	English			
839	l ɛɪ f	*līban	l ɛɪ f ( - - )	lɛɪf	lijf	230	Dutch			
840	x r ai g r oː n	*xraigrōn	x r ai g - r ( oː n )	xraigroːn	*xraigrōn	231	Proto-Germanic			
841	r ai ə r	*xraigrōn	- r ai - ə r ( - - )	raiər	Reiher	231	German			
842	r ɛɪ ɣ ə r	*xraigrōn	- r ɛɪ ɣ ə r ( - - )	rɛɪɣər	reiger	231	Dutch			
843	s t a lː a z	*stallaz	s t a lː ( a z )	stallaz	*stallaz	232	Proto-Germanic			
844	ʃ t a l	*stallaz	ʃ t a l ( - - )	ʃtal	Stall	232	German			
845	s t ɑ l	*stallaz	s t ɑ l ( - - )	stɑl	stal	232	Dutch			
846	w a x s a n	*waxsan	w a x s ( a n )	waxsan	*waxsan	233	Proto-Germanic			
847	v a k s	*waxsan	v a k s ( - - )	vaks	Wachs	233	German			
848	ʋ æ k s	*waxsan	ʋ æ k s ( - - )	ʋæks	wax	233	English			
849	ʋ ɑ s	*waxsan	ʋ ɑ - s ( - - )	ʋɑs	was	233	Dutch			
850	x a r i z	*xariz	x a r ( i z )	xariz	*xariz	234	Proto-Germanic			
851	h eː r	*xariz	h eː r ( - - )	heːr	Heer	234	German			
852	h eː r	*xariz	h eː r ( - - )	heːr	heer	234	Dutch			
853	b l oː d a n	*blōdan	b l oː d ( a n )	bloːdan	*blōdan	235	Proto-Germanic		CC V C	
854	b l uː t	*blōdan	b l uː t ( - - )	bluːt	Blut	235	German			
855	b l ʌ d	*blōdan	b l ʌ d ( - - )	blʌd	blood	235	English			
856	b l uː t	*blōdan	b l uː t ( - - )	bluːt	bloed	235	Dutch			
857	l u k a n	*lukan	l u k ( a n )	lukan	*lukan	236	Proto-Germanic		C V C	
858	l ɔ x	*lukan	l ɔ x ( - - )	lɔx	Loch	236	German			
859	l ɔ k	*lukan	l ɔ k ( - - )	lɔk	lock	236	English			
860	t e x u n	*texun	t e x u n	texun	*texun	237	Proto-Germanic			
861	ts eː n	*texun	ts eː - - n	t͡seːn	zehn	237	German			
862	t ɛ n	*texun	t ɛ - - n	tɛn	ten	237	English			
863	t iː n	*texun	t iː - - n	tiːn	tien	237	Dutch			
864	xʷ e r b a n a n	*xwerbanan	xʷ e r b a n ( a n )	xwerbanan	*xwerbanan	238	Proto-Germanic			
865	v ɛ r b ə n	*xwerbanan	v ɛ r b ə n ( - - )	vɛrbən	werben	238	German			
866	ʋ ɛ r v ə	*xwerbanan	ʋ ɛ r v ə - ( - - )	ʋɛrvə	werven	238	Dutch			
867	j u g u n θ i z	*jugunθiz	j u g u n θ ( i z )	jugunθiz	*jugunθiz	239	Proto-Germanic		C V c v v c	
868	j uː ɡ ə n t	*jugunθiz	j uː ɡ ə n d ( - - )	juːɡənt	Jugend	239	German			
869	j uː θ	*jugunθiz	j uː - - - θ ( - - )	juːθ	youth	239	English			
